Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
1272900.0,2023,6089,Otomatik,LPG & Benzin,Turuncu
729500.0,2022,119000,Duz,Benzin,Beyaz
595000.0,2019,168000,Duz,Dizel,Beyaz
735000.0,2021,40500,Duz,Benzin,Beyaz
855000.0,2022,25500,Duz,Benzin,Beyaz
732500.0,2021,106000,Duz,Dizel,Beyaz
665000.0,2018,210000,Yari Otomatik,Dizel,Beyaz
560000.0,2017,181000,Duz,Dizel,Beyaz
555000.0,2017,186000,Duz,Dizel,Beyaz
625000.0,2019,185000,Duz,Benzin,Gri
630000.0,2016,180000,Duz,LPG & Benzin,Gri
795000.0,2020,136100,Otomatik,Dizel,Beyaz
588000.0,2016,155000,Duz,Benzin,Beyaz
789900.0,2022,63167,Duz,Benzin,Gri
685000.0,2019,120000,Duz,Dizel,Beyaz
805000.0,2020,85736,Otomatik,Dizel,Beyaz
738000.0,2023,18000,Duz,Benzin,Beyaz
1240000.0,2023,47490,Yari Otomatik,Dizel,Gri
1000000.0,2024,19284,Duz,Dizel,Mavi
675000.0,2021,184400,Duz,LPG & Benzin,Beyaz
867000.0,2022,72000,Otomatik,Dizel,Füme
655000.0,2016,118000,Duz,LPG & Benzin,Beyaz
520000.0,2017,223500,Duz,Dizel,Beyaz
815000.0,2024,17000,Duz,Benzin,Mavi
605000.0,2018,48000,Duz,LPG & Benzin,Beyaz
645000.0,2017,124600,Duz,Dizel,Beyaz
649500.0,2017,173000,Yari Otomatik,Dizel,Beyaz
699000.0,2021,119500,Duz,Dizel,Beyaz
659000.0,2020,140000,Duz,Dizel,Beyaz
785900.0,2021,98000,Duz,Dizel,Beyaz
765000.0,2020,133705,Otomatik,Dizel,Beyaz
669000.0,2021,158000,Duz,Dizel,Beyaz
645000.0,2020,180000,Duz,Dizel,Beyaz
685000.0,2017,40000,Duz,LPG & Benzin,Mavi (metalik)
